no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score
1.0,1.0,0.9791619026243013,1.0,1.0,1.0,0.9913174594267922
0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,0.8230191670131015,1.0,1.0,1.0,0.9262579862554589
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
1.0,1.0,0.9083469816544565,1.0,1.0,1.0,0.9618112423560236
0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
1.0,1.0,0.8107439781291673,1.0,1.0,1.0,0.9211433242204864
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,0.9550670214236822,1.0,1.0,1.0,0.981277925593201
1.0,1.0,1.0,0.0,1.0,1.0,0.5833333333333334
1.0,1.0,1.0,1.0,1.0,1.0,1.0
